update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
20,train,10.808193556471888,,4.2e-06,12012.625754972321,3.516211986541748,1.0,737280,2025-09-10T13:27:44.871620+00:00Z
21,train,10.772364215854607,,4.4e-06,12014.503744001117,3.426358222961426,1.0,774144,2025-09-10T13:27:47.940009+00:00Z
22,train,10.73509983730656,,4.6e-06,12016.497723577693,3.2995243072509766,1.0,811008,2025-09-10T13:27:51.007770+00:00Z
23,train,10.694220011046607,,4.8e-06,12016.07174437091,3.374545097351074,1.0,847872,2025-09-10T13:27:54.078105+00:00Z
24,train,10.655211649487386,,5e-06,12014.560481192995,3.1285839080810547,1.0,884736,2025-09-10T13:27:57.148929+00:00Z
25,train,10.61317006541786,,5.2e-06,12012.536988449407,3.178180694580078,1.0,921600,2025-09-10T13:28:00.220793+00:00Z
26,train,10.574212644638097,,5.400000000000001e-06,12009.838105255569,3.009415626525879,1.0,958464,2025-09-10T13:28:03.294052+00:00Z
27,train,10.532569957502016,,5.6e-06,12006.605649166459,3.0119781494140625,1.0,995328,2025-09-10T13:28:06.369681+00:00Z
28,train,10.490697341615553,,5.7999999999999995e-06,12003.481323667387,2.9682812690734863,1.0,1032192,2025-09-10T13:28:09.446016+00:00Z
29,train,10.451032779325182,,6e-06,11998.80707200753,2.806546449661255,1.0,1069056,2025-09-10T13:28:12.524127+00:00Z
30,train,10.411906297542872,,6.2e-06,11997.160631452536,2.7520992755889893,1.0,1105920,2025-09-10T13:28:15.599546+00:00Z
31,train,10.37751162249287,,6.4000000000000006e-06,11996.022583454007,2.565138101577759,1.0,1142784,2025-09-10T13:28:18.675741+00:00Z
32,train,10.333564605102897,,6.6e-06,11993.449901598644,2.7454826831817627,1.0,1179648,2025-09-10T13:28:21.753064+00:00Z
33,train,10.296794729637469,,6.8e-06,11992.735982062224,2.5090017318725586,1.0,1216512,2025-09-10T13:28:24.829672+00:00Z
34,train,10.257828733808427,,7e-06,11992.246481477527,2.567274808883667,1.0,1253376,2025-09-10T13:28:27.905197+00:00Z
35,train,10.217466182845797,,7.2e-06,11991.924433245684,2.522387742996216,1.0,1290240,2025-09-10T13:28:30.981603+00:00Z
36,train,10.194279647473662,,7.4e-06,11991.825440924586,2.0940585136413574,1.0,1327104,2025-09-10T13:28:34.057808+00:00Z
37,train,10.160642161909493,,7.6e-06,11990.368232087876,2.3007431030273438,1.0,1363968,2025-09-10T13:28:37.133771+00:00Z
38,train,10.124843801507728,,7.8e-06,11988.356884942186,2.337188243865967,1.0,1400832,2025-09-10T13:28:40.211824+00:00Z
39,train,10.10356449375991,,8e-06,11986.487548863519,2.087899684906006,1.0,1437696,2025-09-10T13:28:43.291217+00:00Z
40,train,10.07074320874015,,8.200000000000001e-06,11845.097453914597,2.25929594039917,1.0,1474560,2025-09-10T13:28:46.561442+00:00Z
41,train,10.039889698279497,,8.4e-06,11868.568417444503,2.2784533500671387,1.0,1511424,2025-09-10T13:28:49.643084+00:00Z
42,train,10.012331967102824,,8.6e-06,11890.569539708244,2.185251235961914,1.0,1548288,2025-09-10T13:28:52.721581+00:00Z
43,train,9.98712258745492,,8.8e-06,11909.056448077183,2.1698224544525146,1.0,1585152,2025-09-10T13:28:55.799947+00:00Z
44,train,9.961456321560686,,9e-06,11923.325094974907,2.176037549972534,1.0,1622016,2025-09-10T13:28:58.877976+00:00Z
45,train,9.929900070622574,,9.2e-06,11933.156851987387,2.2957944869995117,1.0,1658880,2025-09-10T13:29:01.959056+00:00Z
46,train,9.898747677142929,,9.4e-06,11942.619528083042,2.3021397590637207,1.0,1695744,2025-09-10T13:29:05.037067+00:00Z
47,train,9.878674776436846,,9.6e-06,11949.133365370139,2.1410470008850098,1.0,1732608,2025-09-10T13:29:08.117438+00:00Z
48,train,9.857867304457987,,9.8e-06,11955.88874928969,2.1252682209014893,1.0,1769472,2025-09-10T13:29:11.195835+00:00Z
49,train,9.846729562259105,,1e-05,11958.971028642503,1.9277026653289795,1.0,1806336,2025-09-10T13:29:14.276205+00:00Z
50,train,9.829625563838828,,1.02e-05,11962.461856273116,2.0319159030914307,1.0,1843200,2025-09-10T13:29:17.356258+00:00Z
51,train,9.804755482392386,,1.04e-05,11965.20702277549,2.1748852729797363,1.0,1880064,2025-09-10T13:29:20.435368+00:00Z
52,train,9.780760759100504,,1.06e-05,11968.058613186144,2.144559860229492,1.0,1916928,2025-09-10T13:29:23.514659+00:00Z
53,train,9.764464218007197,,1.0800000000000002e-05,11967.96453929234,2.0637941360473633,1.0,1953792,2025-09-10T13:29:26.596988+00:00Z
