update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
35,train,7.1050126864334855,,7.741935483870968e-06,8469.950598131238,0.0,1.0,1146880,2025-09-22T10:13:13.547542+00:00Z
36,train,7.093425594015799,,7.956989247311828e-06,8467.169428592659,0.0,1.0,1179648,2025-09-22T10:13:17.422640+00:00Z
37,train,7.084061678269996,,8.172043010752689e-06,8466.734432537283,0.0,1.0,1212416,2025-09-22T10:13:21.293641+00:00Z
38,train,7.081447520273471,,8.387096774193549e-06,8470.311397128069,0.0,1.0,1245184,2025-09-22T10:13:25.157956+00:00Z
39,train,7.081579987780044,,8.602150537634409e-06,8473.675743914138,0.0,1.0,1277952,2025-09-22T10:13:29.027110+00:00Z
40,train,7.091377763070872,,8.81720430107527e-06,8471.52895573912,0.0,1.0,1310720,2025-09-22T10:13:32.909065+00:00Z
41,train,7.100304098234961,,9.03225806451613e-06,8472.398322784387,0.0,1.0,1343488,2025-09-22T10:13:36.775096+00:00Z
42,train,7.09666406927084,,9.24731182795699e-06,8473.330740893789,0.0,1.0,1376256,2025-09-22T10:13:40.640587+00:00Z
43,train,7.098093359031455,,9.46236559139785e-06,8468.400499661313,0.0,1.0,1409024,2025-09-22T10:13:44.519063+00:00Z
44,train,7.097591419540205,,9.67741935483871e-06,8467.115553265456,0.0,1.0,1441792,2025-09-22T10:13:48.391444+00:00Z
45,train,7.088522976209842,,9.89247311827957e-06,8470.06272653068,0.0,1.0,1474560,2025-09-22T10:13:52.256763+00:00Z
46,train,7.087754653903952,,1.0107526881720431e-05,8468.672414930237,0.0,1.0,1507328,2025-09-22T10:13:56.128625+00:00Z
47,train,7.079133302283088,,1.0322580645161291e-05,8467.079294687323,0.0,1.0,1540096,2025-09-22T10:14:00.001588+00:00Z
48,train,7.086510440985978,,1.0537634408602151e-05,8468.178983849795,0.0,1.0,1572864,2025-09-22T10:14:03.869124+00:00Z
49,train,7.094245232296545,,1.0752688172043012e-05,8465.024183531508,0.0,1.0,1605632,2025-09-22T10:14:07.745890+00:00Z
50,train,7.0874972854428515,,1.0967741935483872e-05,8468.767223676718,0.0,1.0,1638400,2025-09-22T10:14:11.608338+00:00Z
51,train,7.076992045137854,,1.1182795698924732e-05,8468.80562189866,0.0,1.0,1671168,2025-09-22T10:14:15.487882+00:00Z
52,train,7.072552553081725,,1.1397849462365593e-05,8467.733856076036,0.0,1.0,1703936,2025-09-22T10:14:19.359590+00:00Z
53,train,7.073212812481118,,1.1612903225806453e-05,8467.033019274497,0.0,1.0,1736704,2025-09-22T10:14:23.230941+00:00Z
54,train,7.0759082050363356,,1.1827956989247313e-05,8466.814478155748,0.0,1.0,1769472,2025-09-22T10:14:27.101509+00:00Z
55,train,7.05936126809479,,1.2043010752688173e-05,8468.869102893448,0.0,1.0,1802240,2025-09-22T10:14:30.971024+00:00Z
56,train,7.045492776344668,,1.2258064516129032e-05,8464.561373308024,0.0,1.0,1835008,2025-09-22T10:14:34.850119+00:00Z
57,train,7.039197779992626,,1.2473118279569892e-05,8463.767544786251,0.0,1.0,1867776,2025-09-22T10:14:38.723134+00:00Z
58,train,7.024054805010026,,1.2688172043010754e-05,8463.907720175213,0.0,1.0,1900544,2025-09-22T10:14:42.594375+00:00Z
59,train,7.0035864766563165,,1.2903225806451613e-05,8465.181075104076,0.0,1.0,1933312,2025-09-22T10:14:46.462963+00:00Z
60,train,7.014719991933571,,1.3118279569892475e-05,8456.106594898069,0.0,1.0,1966080,2025-09-22T10:14:50.361562+00:00Z
61,train,7.004297032104075,,1.3333333333333333e-05,8422.94434366089,0.0,1.0,1998848,2025-09-22T10:14:54.314135+00:00Z
62,train,6.999316567909247,,1.3548387096774195e-05,8416.907027695373,0.0,1.0,2031616,2025-09-22T10:14:58.218453+00:00Z
63,train,6.99003709083634,,1.3763440860215054e-05,8415.730672347137,0.0,1.0,2064384,2025-09-22T10:15:02.114293+00:00Z
64,train,6.978937990002371,,1.3978494623655914e-05,8416.514602200554,0.0,1.0,2097152,2025-09-22T10:15:06.006141+00:00Z
65,train,6.966972058891538,,1.4193548387096774e-05,8418.388626343645,0.0,1.0,2129920,2025-09-22T10:15:09.895109+00:00Z
66,train,6.963923978101566,,1.4408602150537635e-05,8423.357583370038,0.0,1.0,2162688,2025-09-22T10:15:13.776087+00:00Z
67,train,6.956677276454587,,1.4623655913978495e-05,8427.916892025665,0.0,1.0,2195456,2025-09-22T10:15:17.665741+00:00Z
68,train,6.969437377359467,,1.4838709677419355e-05,8423.50344104858,0.0,1.0,2228224,2025-09-22T10:15:21.565481+00:00Z
69,train,6.940506586467622,,1.5053763440860215e-05,8427.664822629802,0.0,1.0,2260992,2025-09-22T10:15:25.445964+00:00Z
70,train,6.92306366178578,,1.5268817204301076e-05,8423.777983326254,0.0,1.0,2293760,2025-09-22T10:15:29.343098+00:00Z
